"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 849;2025-10-09;Overforing till Wise;;;;4 500,00;7 816,62
;A 850;2025-10-09;Worldline deposit B10097674111;;;0,99;;7 817,61
;A 851;2025-10-10;Worldline deposit B10107702101;;;1 701,91;;9 519,52
;A 852;2025-10-13;Worldline deposit B10127760785;;;5 491,37;;15 010,89
;A 853;2025-10-14;Frakt PostNord 50207042;;;;424,00;14 586,89
;A 854;2025-10-14;Worldline deposit B10147798619;;;2 972,53;;17 559,42
;A 855;2025-10-17;Svea Ekonomi kortterminal;;;;248,00;17 311,42
;A 856;2025-10-17;Forsakring 53020525;;;;3 763,00;13 548,42
;A 857;2025-10-17;Worldline deposit B10177881088;;;6 687,36;;20 235,78
;A 858;2025-10-20;Worldline deposit B10197936186;;;5 266,50;;25 502,28
;A 859;2025-10-22;Worldline deposit B10228000236;;;7 578,34;;33 080,62
;A 860;2025-10-24;Worldline deposit B10248056799;;;4 268,50;;37 349,12
;A 861;2025-10-27;Worldline deposit B10258085288;;;2 928,26;;40 277,38
;A 862;2025-10-27;Worldline deposit B10278133717;;;5 268,49;;45 545,87
;A 863;2025-10-28;Hyra oktober butik/lager 4392007;;;;19 983,00;25 562,87
;A 864;2025-10-28;Hyra lagar 4392007;;;;1 896,00;23 666,87
;A 865;2025-10-28;Moms Q3 betalning Skatteverket;;;;15 714,00;7 952,87
;A 866;2025-10-28;Worldline deposit B10288150305;;;4 349,13;;12 302,00
;A 867;2025-10-29;Worldline deposit B10298175527;;;5 560,94;;17 862,94
;A 868;2025-10-30;Worldline deposit B10308203309;;;2 750,16;;20 613,10
;A 869;2025-10-31;Worldline deposit B10318231769;;;4 535,93;;25 149,03
;A 870;2025-11-01;Manadsavgift Foretagskonto nov;;;;70,00;25 079,03
;A 871;2025-11-03;Worldline deposit B11018260572;;;6 164,00;;31 243,03
;A 872;2025-11-03;Worldline deposit B11028288982;;;1 191,00;;32 434,03
;A 873;2025-11-04;Worldline deposit B11048324588;;;2 243,70;;34 677,73
;A 874;2025-11-07;Bank avgift enskildfirma samis;;;;1 000,00;33 677,73
;A 875;2025-11-07;Worldline deposit B11078404621;;;4 180,96;;37 858,69
;A 876;2025-11-10;Worldline deposit B11088433471;;;3 324,26;;41 182,95
;A 877;2025-11-10;Worldline deposit B11108482009;;;1 188,01;;42 370,96
;A 878;2025-11-11;Worldline deposit B11118498315;;;2 482,51;;44 853,47
;A 879;2025-11-12;Worldline deposit B11128524941;;;1 141,26;;45 994,73
;A 880;2025-11-13;Worldline deposit B11138552310;;;892,51;;46 887,24
;A 881;2025-11-14;Worldline deposit B11148578818;;;1 941,22;;48 828,46
;A 882;2025-11-17;Svea Ekonomi kortterminal;;;;248,00;48 580,46
;A 883;2025-11-17;Worldline deposit B11178656600;;;1 981,02;;50 561,48
;A 884;2025-11-17;Skuld 2893 inbetalning 6641229;;;284,00;;50 845,48
;A 885;2025-11-18;Worldline deposit B11188674426;;;3 048,64;;53 894,12
;A 886;2025-11-19;Worldline deposit B11198697754;;;16 205,47;;70 099,59
;A 887;2025-11-20;Svea Ekonomi kortterminal;;;;248,00;69 851,59
;A 888;2025-11-20;Worldline deposit B11208725080;;;8 057,42;;77 909,01
;A 889;2025-11-21;Worldline deposit B11218753235;;;14 373,20;;92 282,21
;A 890;2025-11-24;Worldline deposit B11228781865;;;7 070,42;;99 352,63
;A 891;2025-11-24;Frakt PostNord 52494309;;;;918,70;98 433,93
;A 892;2025-11-24;Frakt PostNord 52494309;;;;1 935,86;96 498,07
;A 893;2025-11-24;Worldline deposit B11248831366;;;29 356,25;;125 854,32
;A 894;2025-11-25;Frakt DB Schenker 9423047;;;;2 158,00;123 696,32
;A 895;2025-11-26;Skuld 2893 inbetalning;;;19 000,00;;142 696,32
;A 896;2025-11-26;SAMIS1 Skuld 2893 inbetalning;;;20 000,00;;162 696,32
;A 897;2025-11-26;Worldline deposit B11268872500;;;14 641,45;;177 337,77
;A 898;2025-11-26;Skuld 2893 inbetalning 6641229;;;778,00;;178 115,77
;A 899;2025-11-26;Skuld 2893 inbetalning SKULDRA;;;38 800,00;;216 915,77
;A 900;2025-11-27;Worldline deposit B11278900577;;;4 219,76;;221 135,53
;A 901;2025-11-27;Inbetalning 07306298220;;;7 856,00;;228 991,53
